,FCN8,Hough,Image,SLIC
0,0.952837267142,0.851762561097,1,0.858196484687
1,0.758768478561,0.820018887363,2,0.819654446167
2,0.930357644526,0.809130574626,3,0.882879484279
3,0.975712360921,0.909412492314,4,0.95215752713
4,0.949188488614,0.983976869365,5,0.990879088984
5,0.970519037952,0.917026700558,6,0.986473098928
6,0.924120517584,0.973786863242,7,0.975092059247
7,0.950134084581,0.825964446329,8,0.781765171709
8,0.9358634213,0.859339946447,9,0.844600684041
9,0.935623913666,0.778789216359,10,0.89945748069
10,0.965006108148,0.714921004316,11,0.908606934252
11,0.812193842289,0.917193411874,12,0.762772829326
12,0.915643080195,0.854573557182,13,0.888275874011
13,0.986422658303,0.949502565937,14,0.820751875864
14,0.987114872546,0.980709628044,15,0.168117102794
15,0.975090356359,0.942442814251,16,0.856341378054
16,0.72791117604,0.446914590948,17,0.209341684977
17,0.963459699993,0.756738135248,18,0.737295413407
18,0.978881684186,0.934686544513,19,0.959022690667
19,0.894887618419,0.97394242041,20,0.738583691222
20,0.841224513664,0.931838294233,21,0.822086834723
21,0.9052535994,0.766459568095,22,0.913148755336
22,0.922255780353,0.758517266696,23,0.544495900472
23,0.944561580557,0.857841571924,24,0.857174436812
24,0.7457626257,0.66537882301,25,0.693131787803
25,0.779306282621,0.868169077641,26,0.391435762654
26,0.806881968099,0.652325132345,27,0.266829167811
27,0.943117163988,0.882783784557,28,0.945495480573
28,0.504662590315,0.487955056312,29,0.808043997806
29,0.797097202343,0.926308027231,30,0.872439835145
30,0.85059109116,0.888131635915,31,0.345658800787
31,0.98541079546,0.965422976772,32,0.873736982657
32,0.968555815648,0.777475681036,33,0.560854568855
33,0.935992653347,0.839079464364,34,0.564686414931
34,0.962168211038,0.750290933617,35,0.47076264809
35,0.797751192491,0.818668973743,36,0.713933243794
36,0.972677117583,0.806917885782,37,0.572882767457
37,0.822524338358,0.826059986888,38,0.71677435389
38,0.881885216877,0.844443104949,39,0.542105384112
39,0.974218740259,0.673971183445,40,0.582039424514
40,0.967779142474,0.824147230281,41,0.511724898661
41,0.926416139406,0.910384742752,42,0.905656208967
42,0.676431524738,0.724069705094,43,0.700569395018
43,0.9714561241,0.938801271978,44,0.789566022667
44,0.946329263768,0.795156522166,45,0.926582583813
45,0.914571738268,0.790971353449,46,0.346959412605
46,0.685293733433,0.577691938209,47,0.142241877674
47,0.886665138375,0.867193637221,48,0.482779643692
48,0.920956162184,0.752692249314,49,0.587457532226
49,0.904639715686,0.781020899005,50,0.80169582808
50,0.919512785942,0.863624486911,51,0.482371418299
51,0.859885588876,0.870308231701,52,0.44425300111
52,0.953676884574,0.840389475231,53,0.806642025762
53,0.860745789784,0.748902902083,54,0.563477777778
54,0.933511059135,0.950827057876,55,0.938403048907
55,0.650958293511,0.434364569298,56,0.170298829521
56,0.964016281175,0.52213572825,57,0.64238125
57,0.86476901611,0.511962267679,58,0.862555157371
58,0.990518047293,0.764714363983,59,0.693193428379
59,0.945013331846,0.434477130728,60,0.637715899919
60,0.891530169781,0.814318085141,61,0.67342550671
61,0.899336199453,0.877959405023,62,0.769022105188
62,0.843000448806,0.965420583474,63,0.285269791667
63,0.915389009949,0.740752600335,64,0.796411767554
64,0.957025603067,0.923535452244,65,0.886388490187
65,0.945155297227,0.893494340839,66,0.441929223744
66,0.904039876771,0.746324810734,67,0.856948343078
67,0.857683985771,0.753055968888,68,0.883176890961
68,0.940946843837,0.598913069424,69,0.754637873435
69,0.985742450236,0.799150948279,70,0.532129329846
70,0.947738076293,0.492113672447,71,0.789521499897
71,0.979505481232,0.979233354355,72,0.486533333333
